dataset,i,j,dv
bfd_p-m,450,423,3.69454
bfd_p-m,450,427,2.0993
bfd_p-m,450,435,2.19164
bfd_p-m,450,425,2.89431
bfd_p-m,450,463,2.53426
bfd_p-m,450,448,0.990708
bfd_p-m,450,428,2.64925
bfd_p-m,450,432,1.86063
bfd_p-m,450,431,1.97735
bfd_p-m,450,438,1.60221
bfd_p-m,450,445,1.58072
bfd_p-m,450,454,2.08827
bfd_p-m,450,446,2.67305
bfd_p-m,470,461,1.34604
bfd_p-m,470,474,3.1305
bfd_p-m,470,476,2.011
bfd_p-m,470,479,1.90029
bfd_p-m,470,481,1.36877
bfd_p-m,470,480,1.62243
bfd_p-m,470,478,4.06378
bfd_p-m,470,471,3.4934
bfd_p-m,470,465,4.06378
bfd_p-m,470,460,4.06378
bfd_p-m,470,440,3.93842
bfd_p-m,470,477,2.71554
bfd_p-m,470,475,2.18109
bfd_p-m,470,457,3.67742
bfd_p-m,470,449,3.54472
bfd_p-m,470,456,4.44868
bfd_p-m,470,417,5.2346
bfd_p-m,470,458,2.3629
bfd_p-m,470,469,2.57331
bfd_p-m,470,451,3.55205
bfd_p-m,470,447,3.10411
bfd_p-m,470,462,2.60191
bfd_p-m,470,453,2.65176
bfd_p-m,470,467,2.54472
bfd_p-m,470,452,2.00733
bfd_p-m,470,473,2.18109
bfd_p-m,470,468,2.99413
bfd_p-m,470,433,2.10191
bfd_p-m,369,328,1.528
bfd_p-m,369,356,1.208
bfd_p-m,369,346,1.38362
bfd_p-m,369,359,1.48838
bfd_p-m,369,383,1.15657
bfd_p-m,369,409,2.10286
bfd_p-m,369,353,0.822095
bfd_p-m,369,343,1.01676
bfd_p-m,369,376,0.595429
bfd_p-m,369,329,1.38667
bfd_p-m,369,344,1.17029
bfd_p-m,369,363,1.5181
bfd_p-m,369,381,1.8
bfd_p-m,369,397,2.16305
bfd_p-m,369,388,1.08305
bfd_p-m,369,367,1.62095
bfd_p-m,369,373,1.57181
bfd_p-m,369,377,1.42286
bfd_p-m,369,401,1.60648
bfd_p-m,369,399,2.25257
bfd_p-m,369,395,2.42171
bfd_p-m,369,406,2.37105
bfd_p-m,369,360,0.133333
bfd_p-m,369,390,0.737905
bfd_p-m,369,357,1.36876
bfd_p-m,369,370,1.432
bfd_p-m,369,347,0.972952
bfd_p-m,369,378,1.48533
bfd_p-m,369,350,1.42971
bfd_p-m,369,358,1.23657
bfd_p-m,82,136,3.52638
bfd_p-m,82,81,0.359186
bfd_p-m,82,96,2.30006
bfd_p-m,82,70,1.00318
bfd_p-m,82,117,2.02734
bfd_p-m,82,169,1.78703
bfd_p-m,82,44,3.22823
bfd_p-m,82,99,2.5302
bfd_p-m,82,61,2.06993
bfd_p-m,82,164,1.88938
bfd_p-m,82,52,2.64971
bfd_p-m,82,179,1.87985
bfd_p-m,82,47,2.42975
bfd_p-m,82,236,4.04132
bfd_p-m,82,153,1.93134
bfd_p-m,82,80,4.43865
bfd_p-m,82,83,3.12842
bfd_p-m,82,69,2.0
bfd_p-m,82,85,1.43039
bfd_p-m,82,86,1.80737
bfd_p-m,82,63,2.25683
bfd_p-m,82,65,2.59313
bfd_p-m,82,139,3.56707
bfd_p-m,82,49,2.30451
bfd_p-m,82,55,2.63636
bfd_p-m,82,130,0.708837
bfd_p-m,82,74,0.359186
bfd_p-m,82,43,3.12587
bfd_p-m,82,42,3.64463
bfd_p-m,82,68,3.56961
bfd_p-m,501,497,0.846612
bfd_p-m,501,506,1.88997
bfd_p-m,501,489,1.87425
bfd_p-m,501,483,2.57453
bfd_p-m,501,486,1.33767
bfd_p-m,501,500,3.5458
bfd_p-m,501,487,2.49919
bfd_p-m,501,498,0.915989
bfd_p-m,501,505,2.16585
bfd_p-m,501,493,3.22222
bfd_p-m,501,491,1.17669
bfd_p-m,501,502,1.71328
bfd_p-m,501,482,2.56423
bfd_p-m,501,503,2.64444
bfd_p-m,501,504,1.71165
bfd_p-m,501,484,0.528997
bfd_p-m,501,488,1.02168
bfd_p-m,501,490,0.889431
bfd_p-m,501,495,1.05474
bfd_p-m,501,496,1.71328
bfd_p-m,501,499,3.27642
bfd_p-m,501,485,1.12141
bfd_p-m,507,515,0.698816
bfd_p-m,507,521,3.52876
bfd_p-m,507,527,3.00338
bfd_p-m,507,511,4.19882
bfd_p-m,507,532,3.85195
bfd_p-m,507,514,3.87648
bfd_p-m,507,533,2.93993
bfd_p-m,507,520,4.17428
bfd_p-m,507,525,4.55161
bfd_p-m,507,517,4.10491
bfd_p-m,507,516,4.71066
bfd_p-m,507,512,4.65651
bfd_p-m,507,530,3.96193
bfd_p-m,507,518,4.50677
bfd_p-m,507,522,2.51184
bfd_p-m,507,534,4.18782
bfd_p-m,507,523,4.74196
bfd_p-m,507,513,4.34518
bfd_p-m,507,509,1.19882
bfd_p-m,507,492,2.43486
bfd_p-m,507,494,1.41709
bfd_p-m,507,508,0.630288
bfd_p-m,507,510,1.48308
bfd_p-m,507,524,4.21658
bfd_p-m,507,529,3.09222
bfd_p-m,507,535,2.70135
bfd_p-m,507,519,2.99831
bfd_p-m,507,528,3.03299
bfd_p-m,507,526,2.61844
bfd_p-m,507,531,2.91794
bfd_p-m,276,220,4.65591
bfd_p-m,276,188,5.14409
bfd_p-m,276,228,4.20323
bfd_p-m,276,235,4.13333
bfd_p-m,276,217,5.5172
bfd_p-m,276,231,5.68495
bfd_p-m,276,219,4.5914
bfd_p-m,276,255,1.48602
bfd_p-m,276,244,4.45376
bfd_p-m,276,242,4.07527
bfd_p-m,276,246,4.94946
bfd_p-m,276,227,6.70968
bfd_p-m,276,258,5.26882
bfd_p-m,276,129,5.52473
bfd_p-m,276,260,5.47957
bfd_p-m,276,237,4.99462
bfd_p-m,276,254,5.14301
bfd_p-m,276,251,5.48065
bfd_p-m,276,253,5.20108
bfd_p-m,276,274,1.19892
bfd_p-m,276,223,4.19247
bfd_p-m,276,148,6.52366
bfd_p-m,276,183,5.62366
bfd_p-m,276,205,5.90215
bfd_p-m,276,250,3.85699
bfd_p-m,276,245,5.72796
bfd_p-m,276,264,2.96774
bfd_p-m,276,249,3.96559
bfd_p-m,276,230,5.18925
bfd_p-m,276,279,1.86667
rit-dupont,125,131,1.02
rit-dupont,120,127,1.02
rit-dupont,119,118,1.02
rit-dupont,121,124,1.02
rit-dupont,128,122,1.02
rit-dupont,106,114,1.02
rit-dupont,126,130,1.02
rit-dupont,108,103,1.02
rit-dupont,88,98,1.02
rit-dupont,147,158,1.02
rit-dupont,153,156,1.02
rit-dupont,149,150,1.02
rit-dupont,152,157,1.02
rit-dupont,154,151,1.02
rit-dupont,140,146,1.02
rit-dupont,139,143,1.02
rit-dupont,138,136,1.02
rit-dupont,133,137,1.02
rit-dupont,296,304,1.02
rit-dupont,300,301,1.02
rit-dupont,291,290,1.02
rit-dupont,288,294,1.02
rit-dupont,289,286,1.02
rit-dupont,283,299,1.02
rit-dupont,285,297,1.02
rit-dupont,280,276,1.02
rit-dupont,282,293,1.02
rit-dupont,190,234,1.02
rit-dupont,194,238,1.02
rit-dupont,195,223,1.02
rit-dupont,182,217,1.02
rit-dupont,210,212,1.02
rit-dupont,209,211,1.02
rit-dupont,198,215,1.02
rit-dupont,189,213,1.02
rit-dupont,196,185,1.02
rit-dupont,192,183,1.02
rit-dupont,184,230,1.02
rit-dupont,181,222,1.02
rit-dupont,176,167,1.02
rit-dupont,179,225,1.02
rit-dupont,382,398,1.02
rit-dupont,385,393,1.02
rit-dupont,392,394,1.02
rit-dupont,383,389,1.02
rit-dupont,386,390,1.02
rit-dupont,378,397,1.02
rit-dupont,352,356,1.02
rit-dupont,359,353,1.02
rit-dupont,376,391,1.02
rit-dupont,200,239,1.02
rit-dupont,191,214,1.02
rit-dupont,199,202,1.02
rit-dupont,203,221,1.02
rit-dupont,208,177,1.02
rit-dupont,180,216,1.02
rit-dupont,187,218,1.02
rit-dupont,172,165,1.02
rit-dupont,174,227,1.02
rit-dupont,243,248,1.02
rit-dupont,220,235,1.02
rit-dupont,228,226,1.02
rit-dupont,233,242,1.02
rit-dupont,237,231,1.02
rit-dupont,246,254,1.02
rit-dupont,251,253,1.02
rit-dupont,247,244,1.02
rit-dupont,245,240,1.02
rit-dupont,404,420,1.02
rit-dupont,413,421,1.02
rit-dupont,416,424,1.02
rit-dupont,417,430,1.02
rit-dupont,418,423,1.02
rit-dupont,407,427,1.02
rit-dupont,408,419,1.02
rit-dupont,406,403,1.02
rit-dupont,410,426,1.02
rit-dupont,326,347,1.02
rit-dupont,330,337,1.02
rit-dupont,328,327,1.02
rit-dupont,333,334,1.02
rit-dupont,336,335,1.02
rit-dupont,342,351,1.02
rit-dupont,344,350,1.02
rit-dupont,345,331,1.02
rit-dupont,341,349,1.02
rit-dupont,15,20,1.02
rit-dupont,10,16,1.02
rit-dupont,7,12,1.02
rit-dupont,8,19,1.02
rit-dupont,14,17,1.02
rit-dupont,13,6,1.02
rit-dupont,3,11,1.02
rit-dupont,316,343,1.02
rit-dupont,313,319,1.02
rit-dupont,310,312,1.02
rit-dupont,311,325,1.02
rit-dupont,318,338,1.02
rit-dupont,315,308,1.02
rit-dupont,317,340,1.02
rit-dupont,96,112,1.02
rit-dupont,93,102,1.02
rit-dupont,97,99,1.02
rit-dupont,92,107,1.02
rit-dupont,104,109,1.02
rit-dupont,101,89,1.02
rit-dupont,91,105,1.02
rit-dupont,56,62,1.02
rit-dupont,47,55,1.02
rit-dupont,46,49,1.02
rit-dupont,45,58,1.02
rit-dupont,40,52,1.02
rit-dupont,42,31,1.02
rit-dupont,48,57,1.02
rit-dupont,266,275,1.02
rit-dupont,259,260,1.02
rit-dupont,267,264,1.02
rit-dupont,261,268,1.02
rit-dupont,269,272,1.02
rit-dupont,271,265,1.02
rit-dupont,263,277,1.02
rit-dupont,54,61,1.02
rit-dupont,37,28,1.02
rit-dupont,30,33,1.02
rit-dupont,53,60,1.02
rit-dupont,51,59,1.02
rit-dupont,23,25,1.02
rit-dupont,24,32,1.02
rit-dupont,373,396,1.02
rit-dupont,369,377,1.02
rit-dupont,367,366,1.02
rit-dupont,368,387,1.02
rit-dupont,364,375,1.02
rit-dupont,370,360,1.02
rit-dupont,372,395,1.02
rit-dupont,72,82,1.02
rit-dupont,79,80,1.02
rit-dupont,71,69,1.02
rit-dupont,74,81,1.02
rit-dupont,77,84,1.02
rit-dupont,68,65,1.02
rit-dupont,70,87,1.02
rit-dupont,455,463,1.02
rit-dupont,464,467,1.02
rit-dupont,452,453,1.02
rit-dupont,459,466,1.02
rit-dupont,461,465,1.02
rit-dupont,458,454,1.02
rit-dupont,449,456,1.02
rit-dupont,432,447,1.02
rit-dupont,435,441,1.02
rit-dupont,438,439,1.02
rit-dupont,440,446,1.02
rit-dupont,436,444,1.02
rit-dupont,433,428,1.02
rit-dupont,434,445,1.02
rit-dupont,125,111,1.02
rit-dupont,120,116,1.02
rit-dupont,119,123,1.02
rit-dupont,121,117,1.02
rit-dupont,128,129,1.02
rit-dupont,106,100,1.02
rit-dupont,126,115,1.02
rit-dupont,108,113,1.02
rit-dupont,88,78,1.02
rit-dupont,147,141,1.02
rit-dupont,153,145,1.02
rit-dupont,149,148,1.02
rit-dupont,152,144,1.02
rit-dupont,154,155,1.02
rit-dupont,140,134,1.02
rit-dupont,139,135,1.02
rit-dupont,138,142,1.02
rit-dupont,133,132,1.02
rit-dupont,296,281,1.02
rit-dupont,300,298,1.02
rit-dupont,291,292,1.02
rit-dupont,288,287,1.02
rit-dupont,289,295,1.02
rit-dupont,283,274,1.02
rit-dupont,285,279,1.02
rit-dupont,280,284,1.02
rit-dupont,282,273,1.02
rit-dupont,190,162,1.02
rit-dupont,194,163,1.02
rit-dupont,195,171,1.02
rit-dupont,182,168,1.02
rit-dupont,210,207,1.02
rit-dupont,209,206,1.02
rit-dupont,198,178,1.02
rit-dupont,189,173,1.02
rit-dupont,196,204,1.02
rit-dupont,192,201,1.02
rit-dupont,184,161,1.02
rit-dupont,181,164,1.02
rit-dupont,176,205,1.02
rit-dupont,179,160,1.02
rit-dupont,382,371,1.02
rit-dupont,385,380,1.02
rit-dupont,392,388,1.02
rit-dupont,383,379,1.02
rit-dupont,386,384,1.02
rit-dupont,378,363,1.02
rit-dupont,352,346,1.02
rit-dupont,359,362,1.02
rit-dupont,376,365,1.02
rit-dupont,200,169,1.02
rit-dupont,191,175,1.02
rit-dupont,199,193,1.02
rit-dupont,203,186,1.02
rit-dupont,208,232,1.02
rit-dupont,180,166,1.02
rit-dupont,187,170,1.02
rit-dupont,172,188,1.02
rit-dupont,174,159,1.02
rit-dupont,243,219,1.02
rit-dupont,220,197,1.02
rit-dupont,228,229,1.02
rit-dupont,233,224,1.02
rit-dupont,237,241,1.02
rit-dupont,246,236,1.02
rit-dupont,251,249,1.02
rit-dupont,247,252,1.02
rit-dupont,245,250,1.02
rit-dupont,404,399,1.02
rit-dupont,413,405,1.02
rit-dupont,416,412,1.02
rit-dupont,417,409,1.02
rit-dupont,418,414,1.02
rit-dupont,407,400,1.02
rit-dupont,408,401,1.02
rit-dupont,406,415,1.02
rit-dupont,410,402,1.02
rit-dupont,326,314,1.02
rit-dupont,330,323,1.02
rit-dupont,328,329,1.02
rit-dupont,333,332,1.02
rit-dupont,336,339,1.02
rit-dupont,342,321,1.02
rit-dupont,344,324,1.02
rit-dupont,345,348,1.02
rit-dupont,341,320,1.02
rit-dupont,15,2,1.02
rit-dupont,10,5,1.02
rit-dupont,7,4,1.02
rit-dupont,8,1,1.02
rit-dupont,14,9,1.02
rit-dupont,13,18,1.02
rit-dupont,3,0,1.02
rit-dupont,316,303,1.02
rit-dupont,313,305,1.02
rit-dupont,310,309,1.02
rit-dupont,311,302,1.02
rit-dupont,318,307,1.02
rit-dupont,315,322,1.02
rit-dupont,317,306,1.02
rit-dupont,96,83,1.02
rit-dupont,93,90,1.02
rit-dupont,97,95,1.02
rit-dupont,92,85,1.02
rit-dupont,104,94,1.02
rit-dupont,101,110,1.02
rit-dupont,91,86,1.02
rit-dupont,56,41,1.02
rit-dupont,47,39,1.02
rit-dupont,46,43,1.02
rit-dupont,45,26,1.02
rit-dupont,40,29,1.02
rit-dupont,42,50,1.02
rit-dupont,48,36,1.02
rit-dupont,266,256,1.02
rit-dupont,259,258,1.02
rit-dupont,267,270,1.02
rit-dupont,261,257,1.02
rit-dupont,269,262,1.02
rit-dupont,271,278,1.02
rit-dupont,263,255,1.02
rit-dupont,54,38,1.02
rit-dupont,37,44,1.02
rit-dupont,30,27,1.02
rit-dupont,53,34,1.02
rit-dupont,51,35,1.02
rit-dupont,23,22,1.02
rit-dupont,24,21,1.02
rit-dupont,373,358,1.02
rit-dupont,369,361,1.02
rit-dupont,367,374,1.02
rit-dupont,368,357,1.02
rit-dupont,364,355,1.02
rit-dupont,370,381,1.02
rit-dupont,372,354,1.02
rit-dupont,72,64,1.02
rit-dupont,79,75,1.02
rit-dupont,71,73,1.02
rit-dupont,74,67,1.02
rit-dupont,77,66,1.02
rit-dupont,68,76,1.02
rit-dupont,70,63,1.02
rit-dupont,455,448,1.02
rit-dupont,464,462,1.02
rit-dupont,452,450,1.02
rit-dupont,459,451,1.02
rit-dupont,461,457,1.02
rit-dupont,458,460,1.02
rit-dupont,449,442,1.02
rit-dupont,432,411,1.02
rit-dupont,435,431,1.02
rit-dupont,438,437,1.02
rit-dupont,440,422,1.02
rit-dupont,436,429,1.02
rit-dupont,433,443,1.02
rit-dupont,434,425,1.02
